Number,Title,Name,City,State,Amount
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",MANIILAQ ASSOCIATION,KOTZEBUE,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",BRISTOL BAY NATIVE ASSOCIATION,DILLINGHAM,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,393026
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",MANIILAQ ASSOCIATION,KOTZEBUE,AK,386775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ARCTIC SLOPE NATIVE ASSOCIATION,ANCHORAGE,AK,361775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,311775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",AHTNA' T'AENE NENE',COPPER CENTER,AK,286775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",BRISTOL BAY NATIVE ASSOCIATION,DILLINGHAM,AK,285844
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",SOUTH CENTRAL FOUNDATION,ANCHORAGE,AK,247110
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NORTON SOUND HEALTH CORPORATION,NOME,AK,186775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,186775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",YAKUTAT TLINGIT TRIBE,YAKUTAT,AK,151029
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NINILCHIK VILLAGE,NINILCHIK,AK,150903
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",MENTASTA TRADITIONAL COUNCIL,MENTASTA LAKE,AK,150147
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KARLUK IRA TRIBAL COUNCIL,KARLUK,AK,150053
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHICKALOON NATIVE VILLAGE,CHICKALOON,AK,150000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KNIK TRIBE,WASILLA,AK,142277
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHILKAT INDIAN VILLAGE,KLUKWAN,AK,141665
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KETCHIKAN INDIAN CORPORATION,KETCHIKAN,AK,138887
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Kenaitze Indian Tribe,KENAI,AK,131124
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Central Council Tlingit And Haida Indian,JUNEAU,AK,130555
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",SELDOVIA VILLAGE TRIBE,SELDOVIA,AK,130416
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF EYAK,CORDOVA,AK,128000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Metlakatla Indian Community,METLAKATLA,AK,126953
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Levelock Village,LEVELOCK,AK,126736
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Skagway Village,SKAGWAY,AK,126389
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Native Village Of Scammon Bay, Alaska",SCAMMON BAY,AK,126304
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Kotlik, Village Of",KOTLIK,AK,126104
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",QAWALANGIN TRIBE OF UNALASKA,UNALASKA,AK,126062
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",HOONAH INDIAN ASSOCIATION,HOONAH,AK,126055
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF KWINHAGAK,QUINHAGAK,AK,126046
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Asa carsarmiut Tribe,MOUNTAIN VILLAGE,AK,126042
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF UNALAKLEET,UNALAKLEET,AK,126003
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Nunakauyarmiut Tribe,TOKSOOK BAY,AK,125948
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Shishmaref Native Corporation,SHISHMAREF,AK,125903
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",TUNUNAK IRA COUNCIL,TUNUNAK,AK,125875
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",New Stuyahok Village,NEW STUYAHOK,AK,125721
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF BUCKLAND,BUCKLAND,AK,125708
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",VILLAGE OF CHEFORNAK,CHEFORNAK,AK,125699
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Village Of Aniak,ANIAK,AK,125674
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Aleut Community of St. Paul Island,SAINT PAUL ISLAND,AK,125665
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NANWALEK IRA COUNCIL,NANWALEK,AK,125351
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NORTHWAY VILLAGE COUNCIL,NORTHWAY,AK,125333
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Pilot Point Native Corp.,Pilot Point,AK,125331
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF GAKONA,GAKONA,AK,125303
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",VILLAGE OF DOT LAKE,Fairbanks,AK,125264
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NEWHALEN VILLAGE,ILIAMNA,AK,125264
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Native Village Of Port Graham,PORT GRAHAM,AK,125233
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF PORT HEIDEN,PORT HEIDEN,AK,125167
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Iliamna, Village Of",Iliamna,AK,125153
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",TATITLEK IRA COUNCIL,TATITLEK,AK,125129
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHALKYITSIK VILLAGE COUNCIL,CHALKYITSIK,AK,125082
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Native Village of Chenega,ANCHORAGE,AK,125064
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Petersburg Indian Association,PETERSBURG,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Kongiganak, Native Village of",Kongiganak,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CIRCLE VILLAGE COUNCIL,CIRCLE,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",IGIUGIG NATIVE VILLAGE,IGIUGIG,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF NAPAIMUTE,ATMAUTLUAK,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","SIVUQAQ, INC.",GAMBELL,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",HYDABURG COOPERATIVE ASSOCIATION,HYDABURG,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Kivalina, Native Village of",KIVALINA,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Tangirnaq Native Village,KODIAK,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","SOLOMON, VILLAGE OF",NOME,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF SELAWIK,SELAWIK,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",STEBBINS COMMUNITY ASSOCIATION,STEBBINS,AK,125000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",YUKON KUSKOKWIM HEALTH CORPORATION,BETHEL,AK,58144
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Dena Nena Henash a/b/a Tanana Chiefs Confereence, Inc.",FAIRBANKS,AK,51712
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHUGACH REGIONAL RESOURCES COMMISSION,ANCHORAGE,AK,50796
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NINILCHIK VILLAGE,NINILCHIK,AK,45589
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",INUPIAT COMMUNITY OF ARTIC SLOPE,BARROW,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHALKYITSIK VILLAGE COUNCIL,CHALKYITSIK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Levelock Village,LEVELOCK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Pilot Point Native Corp.,Pilot Point,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Shishmaref Native Corporation,SHISHMAREF,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF GAKONA,GAKONA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","SIVUQAQ, INC.",GAMBELL,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NANWALEK IRA COUNCIL,NANWALEK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Petersburg Indian Association,PETERSBURG,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF PORT HEIDEN,PORT HEIDEN,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF KWINHAGAK,QUINHAGAK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KNIK TRIBE,WASILLA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CIRCLE VILLAGE COUNCIL,CIRCLE,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Native Village Of Scammon Bay, Alaska",SCAMMON BAY,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",TUNUNAK IRA COUNCIL,TUNUNAK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",VILLAGE OF CHEFORNAK,CHEFORNAK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Central Council Tlingit And Haida Indian,JUNEAU,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Kongiganak, Native Village of",Kongiganak,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","SOLOMON, VILLAGE OF",NOME,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",STEBBINS COMMUNITY ASSOCIATION,STEBBINS,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Native Village of Chenega,ANCHORAGE,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","EASTERN ALEUTIAN TRIBES, INC",ANCHORAGE,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF BUCKLAND,BUCKLAND,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF EYAK,CORDOVA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",VILLAGE OF DOT LAKE,Fairbanks,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",IGIUGIG NATIVE VILLAGE,IGIUGIG,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NEWHALEN VILLAGE,ILIAMNA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Iliamna, Village Of",Iliamna,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",KETCHIKAN INDIAN CORPORATION,KETCHIKAN,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHILKAT INDIAN VILLAGE,KLUKWAN,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Tangirnaq Native Village,KODIAK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Kotlik, Village Of",KOTLIK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Asa carsarmiut Tribe,MOUNTAIN VILLAGE,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",New Stuyahok Village,NEW STUYAHOK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NORTHWAY VILLAGE COUNCIL,NORTHWAY,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Native Village Of Port Graham,PORT GRAHAM,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Aleut Community of St. Paul Island,SAINT PAUL ISLAND,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF SELAWIK,SELAWIK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Skagway Village,SKAGWAY,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",TATITLEK IRA COUNCIL,TATITLEK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Nunakauyarmiut Tribe,TOKSOOK BAY,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF UNALAKLEET,UNALAKLEET,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",QAWALANGIN TRIBE OF UNALASKA,UNALASKA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Village Of Aniak,ANIAK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NATIVE VILLAGE OF NAPAIMUTE,ATMAUTLUAK,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",HOONAH INDIAN ASSOCIATION,HOONAH,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Kivalina, Native Village of",KIVALINA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",SOUTH CENTRAL FOUNDATION,ANCHORAGE,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",SELDOVIA VILLAGE TRIBE,SELDOVIA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Metlakatla Indian Community,METLAKATLA,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",CHUGACH REGIONAL RESOURCES COMMISSION,ANCHORAGE,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",HYDABURG COOPERATIVE ASSOCIATION,HYDABURG,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Kenaitze Indian Tribe,KENAI,AK,25000
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NINILCHIK VILLAGE,NINILCHIK,AK,1601
93.107,Area Health Education Centers,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,95455
93.623,Basic Center Grant,COVENANT HOUSE ALASKA,ANCHORAGE,AK,40000
93.575,Child Care and Development Block Grant,AK ST DHSS,JUNEAU,AK,6489103
93.575,Child Care and Development Block Grant,"COOK INLET TRIBAL COUNCIL, INC",ANCHORAGE,AK,1619368
93.575,Child Care and Development Block Grant,TLINGIT & HAIDA TRIBES CENTRAL COUNCIL,JUNEAU,AK,868247
93.575,Child Care and Development Block Grant,ASSOCIATION OF VILLAGE COUNCIL PRESIDENTS (ONAP),BETHEL,AK,697332
93.575,Child Care and Development Block Grant,"Dena Nena Henash a/b/a Tanana Chiefs Confereence, Inc.",FAIRBANKS,AK,309065
93.575,Child Care and Development Block Grant,KNIK TRIBAL COUNCIL,WASILLA,AK,304680
93.575,Child Care and Development Block Grant,"KAWERAK, INC",NOME,AK,290748
93.575,Child Care and Development Block Grant,MANIILAQ ASSOCIATION,KOTZEBUE,AK,262370
93.575,Child Care and Development Block Grant,ORUTSARAMUIT NATIVE COUNCIL,BETHEL,AK,225865
93.575,Child Care and Development Block Grant,NATIVE VILLAGE OF BARROW,BARROW,AK,216449
93.575,Child Care and Development Block Grant,"BRISTOL BAY NATIVE ASSOCIATION, (ONAP)",DILLINGHAM,AK,210386
93.575,Child Care and Development Block Grant,KENAITZE INDIAN TRIBE,KENAI,AK,164981
93.575,Child Care and Development Block Grant,ARCTIC SLOPE NATIVE ASSOCIATION LIMITED,BARROW,AK,109514
93.575,Child Care and Development Block Grant,KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,98292
93.575,Child Care and Development Block Grant,NOME ESKIMO COMMUNITY,NOME,AK,68108
93.575,Child Care and Development Block Grant,METLAKATLA INDIAN COMMUNITY,METLAKATLA,AK,60497
93.575,Child Care and Development Block Grant,SITKA TRIBE OF ALASKA,SITKA,AK,50823
93.575,Child Care and Development Block Grant,CHUGACHMIUT,ANCHORAGE,AK,47340
93.575,Child Care and Development Block Grant,NINILCHIK TRADITIONAL COUNCIL,NINILCHIK,AK,42438
93.575,Child Care and Development Block Grant,AKIACHAK NATIVE COMMUNITY,AKIACHAK,AK,34570
93.575,Child Care and Development Block Grant,ORGANIZED VILLAGE OF KWETHLUK,KWETHLUK,AK,34570
93.575,Child Care and Development Block Grant,ALEUTIAN PRIBILOF ISLANDS ASSOCIATION,ANCHORAGE,AK,30442
93.575,Child Care and Development Block Grant,ASA'CARSARMIUT TRIBAL COUNCIL,MOUNTAIN VILLAGE,AK,29668
93.575,Child Care and Development Block Grant,Shoonaq Tribe of Kodiak,KODIAK,AK,23348
93.575,Child Care and Development Block Grant,TRIBAL GOVERNMENT OF ST. PAUL,SAINT PAUL ISLAND,AK,17672
93.575,Child Care and Development Block Grant,AHTNA' T'AENE NENE',COPPER CENTER,AK,17414
93.575,Child Care and Development Block Grant,AKIAK NATIVE COMMUNITY,AKIAK,AK,16640
93.575,Child Care and Development Block Grant,HOONAH INDIAN ASSOCIATION,HOONAH,AK,16124
93.575,Child Care and Development Block Grant,YAKUTAT TLINGIT TRIBE/NATIVE ASSOCIATION,YAKUTAT,AK,10319
93.575,Child Care and Development Block Grant,AGDAAQUX TRIBE OF KING COVE,KING COVE,AK,7740
93.575,Child Care and Development Block Grant,CHILKAT INDIAN VILLAGE,KLUKWAN,AK,6450
93.569,Community Services Block Grant,AK ST DEPT OF COMMUNITY & REGIONAL AFFAIRS,JUNEAU,AK,932510
93.569,Community Services Block Grant,"COOK INLET TRIBAL COUNCIL, INC",ANCHORAGE,AK,124038
93.569,Community Services Block Grant,TLINGIT & HAIDA TRIBES CENTRAL COUNCIL,JUNEAU,AK,88000
93.569,Community Services Block Grant,"TANANA CHIEFS CONFERENCE, INC (ONAP)",FAIRBANKS,AK,81075
93.569,Community Services Block Grant,KENAITZE INDIAN TRIBE,KENAI,AK,38892
93.569,Community Services Block Grant,"FAIRBANKS NATIVE ASSOCIATION, INC",FAIRBANKS,AK,31797
93.569,Community Services Block Grant,"KAWERAK, INC",NOME,AK,23294
93.569,Community Services Block Grant,KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,18909
93.569,Community Services Block Grant,Shoonaq Tribe of Kodiak,KODIAK,AK,17226
93.569,Community Services Block Grant,SITKA TRIBE OF ALASKA,SITKA,AK,16754
93.569,Community Services Block Grant,"COOK INLET TRIBAL COUNCIL, INC",ANCHORAGE,AK,0
93.569,Community Services Block Grant,"FAIRBANKS NATIVE ASSOCIATION, INC",FAIRBANKS,AK,0
93.569,Community Services Block Grant,"TANANA CHIEFS CONFERENCE, INC (ONAP)",FAIRBANKS,AK,0
93.569,Community Services Block Grant,TLINGIT & HAIDA TRIBES CENTRAL COUNCIL,JUNEAU,AK,0
